corpus,method,pooled_ge_f1,scene_macro_ge_f1,precision,recall,violations,transition_macro_dyn_f1,pooled_delta_micro_f1,add,remove,transfer,false_nt_switches,static_mode_note,ta_static_pooled_ge_f1,ta_static_n_scenes
procedural,Geometry Rule,0.805301,0.827564,0.883669,0.7397,0.0,0.527778,0.6,1.0,0.111111,0.888889,0,state_consistency_full_corpus,0.807339,36
procedural,Logistic Regression,0.974063,0.978558,1.0,0.949438,0.0,0.944444,0.953488,1.0,1.0,0.777778,0,state_consistency_full_corpus,0.95389,36
procedural,Random Forest,0.974063,0.978558,1.0,0.949438,0.0,0.75,0.75,1.0,1.0,0.0,0,state_consistency_full_corpus,0.974063,36
procedural,MLP,0.974063,0.978558,1.0,0.949438,0.0,0.75,0.75,1.0,1.0,0.0,0,state_consistency_full_corpus,0.974063,36
procedural,MedPhyGraph,0.974063,0.978558,1.0,0.949438,0.0,1.0,1.0,1.0,1.0,1.0,0,state_consistency_full_corpus,0.948127,36
isaac_hc,Geometry Rule,0.787879,0.795299,0.882716,0.711443,0.0,0.583333,0.6,1.0,0.333333,0.666667,0,state_consistency_full_corpus,0.793388,24
isaac_hc,Logistic Regression,0.932271,0.93817,1.0,0.873134,0.0,0.833333,0.846154,1.0,1.0,0.333333,0,state_consistency_full_corpus,0.924303,24
isaac_hc,Random Forest,0.91498,0.923057,1.0,0.843284,0.0,0.75,0.75,1.0,1.0,0.0,0,state_consistency_full_corpus,0.91498,24
isaac_hc,MLP,0.882591,0.891669,0.964602,0.813433,0.0,0.601389,0.545455,0.605556,0.9,0.0,0,state_consistency_full_corpus,0.863071,24
isaac_hc,MedPhyGraph,0.91498,0.923057,1.0,0.843284,0.0,1.0,1.0,1.0,1.0,1.0,0,state_consistency_full_corpus,0.890688,24
