metric,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std,min,max,n,std_definition
isaac_full_pop_static_ge_f1,0.898785,0.898785,0.898785,0.898785,0.898785,0.898785,0.0,0.898785,0.898785,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_transition_current_static_ge_f1,0.890688,0.890688,0.890688,0.890688,0.890688,0.8906880000000001,1.2412670766236366e-16,0.890688,0.890688,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_sc_full_pop_static_ge_f1,0.91498,0.91498,0.91498,0.91498,0.91498,0.9149800000000001,1.2412670766236366e-16,0.91498,0.91498,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_indep_static_ge_f1,0.858228,0.860377,0.845488,0.840438,0.841463,0.8491987999999999,0.009445142439370606,0.840438,0.860377,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_transition_macro_dyn_f1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_pooled_delta_micro_f1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_transfer_f1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_add_f1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_remove_f1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_transfer_f1_independent,0.545455,0.545455,0.444444,0.444444,0.461538,0.4882672,0.052669452215681915,0.444444,0.545455,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_transfer_f1_state_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_false_nt_switches,0,0,0,0,0,0.0,0.0,0.0,0.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
isaac_graph_violations,0,0,0,0,0,0.0,0.0,0.0,0.0,5,sample standard deviation (numpy ddof=1) across the 5 seeds
proc_full_pop_static_ge_f1,0.956772,0.956772,0.956772,0.956772,0.956772,0.956772,0.0,0.956772,0.956772,5,sample standard deviation (numpy ddof=1) across the 5 seeds
